num_if,num_else,num_switch,num_loop,num_break,num_Priority,num_binSearch,num_minMax,num_sort,num_hash_map,num_hash_set,num_recursive,num_nested_loop,num_vari,num_method,num_state,complexity_class,efficiency,filename
0,0,0,2,0,0,0,1,0,0,0,0,2,4,2,4,quadratic,inefficient,BinomialCoefficientDP9GeeksforGeeks-3.java
1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,constant,efficient,DetectiftwointegershaveoppositesignsGeeksforGeeks-1.java
1,0,0,1,0,0,0,0,0,0,0,1,0,3,3,5,logarithmic,efficient,Counttotalsetbitsinallnumbersfrom1tonGeeksforGeeks-5.java
2,0,0,2,0,0,0,0,0,0,0,2,0,8,5,8,quadratic,inefficient,QuickSortGeeksforGeeks-1.java
3,0,0,0,0,0,0,1,0,0,0,3,0,2,2,7,polynomial,inefficient,ShortestCommonSupersequenceGeeksforGeeks-2.java
0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,2,linear,efficient,SmallestofthreeintegerswithoutcomparisonoperatorsGeeksforGeeks-2.java
1,0,0,2,0,0,0,1,0,0,0,0,2,7,2,6,quadratic,inefficient,01KnapsackProblemDP10GeeksforGeeks-5.java
7,0,0,4,0,0,0,0,0,0,0,1,0,8,4,19,linear,efficient,DetectcycleinanundirectedgraphGeeksforGeeks-1.java
6,0,0,9,0,0,0,0,0,0,0,1,2,14,6,26,linear,efficient,EulerCircuitinaDirectedGraphGeeksforGeeks-1.java
6,0,0,2,0,0,0,0,0,0,0,1,0,11,9,18,linear,efficient,KthSmallestLargestElementinUnsortedArraySet1GeeksforGeeks-4.java
3,0,0,1,0,0,0,0,2,0,0,0,0,5,2,8,linearithmic,efficient,MinimumNumberofPlatformsRequiredforaRailwayBusStationGeeksforGeeks-3.java
1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,5,linear,efficient,ProgramforFibonaccinumbersGeeksforGeeks-3.java
4,1,0,2,1,0,0,0,0,0,0,1,0,7,3,15,linear,efficient,CountPossibleDecodingsofagivenDigitSequenceGeeksforGeeks-3.java
3,0,0,0,0,0,0,1,0,0,0,6,0,4,4,7,linear,efficient,LargestIndependentSetProblemDP26GeeksforGeeks-1.java
1,0,0,2,0,0,0,0,0,0,0,1,0,6,3,6,quadratic,inefficient,PrintallpossiblecombinationsofrelementsinagivenarrayofsizenGeeksforGeeks-1.java
1,0,0,6,0,0,0,0,1,0,0,0,2,11,2,14,linear,efficient,BucketSortGeeksforGeeks-1.java
4,1,0,3,0,0,0,0,0,0,0,2,0,6,5,22,linearithmic,efficient,MergeSortforDoublyLinkedListGeeksforGeeks-1.java
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,logarithmic,efficient,PositionofrightmostsetbitGeeksforGeeks-1.java
2,0,0,4,0,0,0,0,0,0,0,0,2,7,3,12,quadratic,inefficient,PatternSearchingSet6EfficientConstructionofFiniteAutomataGeeksforGeeks-1.java
2,0,0,1,0,0,0,0,0,0,0,2,0,5,3,6,quadratic,inefficient,PrintallpossiblecombinationsofrelementsinagivenarrayofsizenGeeksforGeeks-2.java
0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,logarithmic,efficient,Add1toagivennumberGeeksforGeeks-1.java
1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,logarithmic,efficient,CountsetbitsinanintegerGeeksforGeeks-7.java
2,1,0,6,0,0,0,0,1,0,0,2,0,13,4,14,linearithmic,efficient,MergeSortGeeksforGeeks-1.java
1,0,0,1,0,0,0,0,0,0,0,0,0,8,4,4,linear,efficient,ProgramforFibonaccinumbersGeeksforGeeks-4.java
4,0,0,0,0,0,0,0,0,0,0,1,0,2,2,7,logarithmic,efficient,Programtofindwhetheragivennumberispowerof2GeeksforGeeks-3.java
4,0,0,1,0,0,0,0,0,0,0,2,0,9,5,14,linear,efficient,KthSmallestLargestElementinUnsortedArraySet2ExpectedLinearTimeGeeksforGeeks-1.java
2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,7,constant,efficient,PositionofrightmostsetbitGeeksforGeeks-5.java
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,constant,efficient,Add1toagivennumberGeeksforGeeks-2.java
2,0,0,2,0,0,0,0,0,0,0,1,0,4,5,12,quadratic,inefficient,Counttotalsetbitsinallnumbersfrom1tonGeeksforGeeks-3.java
4,0,0,5,0,0,0,2,0,0,0,1,0,15,4,16,linear,efficient,TarjansAlgorithmtofindStronglyConnectedComponentsGeeksforGeeks-1.java
2,0,0,3,1,0,0,0,0,0,0,0,2,5,3,9,quadratic,inefficient,BubbleSortGeeksforGeeks-2.java
5,0,0,7,0,0,0,0,0,0,0,0,6,11,2,17,quadratic,inefficient,CycleSortGeeksforGeeks-1.java
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,constant,efficient,Efficientwaytomultiplywith7GeeksforGeeks-1.java
1,0,0,2,0,0,0,0,0,0,0,1,0,7,4,7,linear,efficient,LexicographicrankofastringGeeksforGeeks-1.java
3,0,0,5,1,0,0,0,0,0,0,0,2,8,3,13,logarithmic,efficient,VertexCoverProblemSet1IntroductionandApproximateAlgorithmGeeksforGeeks-1.java
3,1,0,0,0,0,0,1,0,0,0,3,0,3,2,7,polynomial,inefficient,ShortestCommonSupersequenceGeeksforGeeks-4.java
1,0,0,5,0,0,0,0,1,0,0,0,0,12,2,13,linear,efficient,SuffixArraySet1IntroductionGeeksforGeeks-1.java
1,0,0,6,0,0,0,8,1,0,0,0,2,15,3,14,linear,efficient,BoxStackingProblemDP22GeeksforGeeks-1.java
2,1,0,2,0,0,0,0,0,0,0,0,0,6,2,9,linearithmic,efficient,Counttotalsetbitsinallnumbersfrom1tonGeeksforGeeks-2.java
8,4,0,1,0,0,0,2,0,0,0,4,0,6,2,24,polynomial,inefficient,EditDistanceDP5GeeksforGeeks-4.java
1,0,0,2,0,0,0,0,0,0,0,2,0,4,2,8,quadratic,inefficient,ProgramfornthCatalanNumberGeeksforGeeks-1.java
1,0,0,2,0,0,0,0,0,0,0,0,0,3,4,7,linearithmic,efficient,UglyNumbersGeeksforGeeks-1.java
0,0,0,2,0,0,0,0,0,0,0,0,2,3,2,3,linear,efficient,CountDistinctNonNegativeIntegerPairsxythatSatisfytheInequalityxxyynGeeksforGeeks-1.java
1,0,0,5,0,1,0,0,0,0,0,0,0,11,4,14,linearithmic,efficient,DijkstrasAlgorithmforAdjacencyListRepresentationGreedyAlgo8GeeksforGeeks-1.java
1,0,0,1,0,0,0,0,0,0,0,0,0,5,2,3,linearithmic,efficient,FindthetwononrepeatingelementsinanarrayofrepeatingelementsUniqueNumbers2GeeksforGeeks-3.java
1,0,0,2,0,0,0,0,0,0,1,0,0,5,2,4,linearithmic,efficient,FindthetwononrepeatingelementsinanarrayofrepeatingelementsUniqueNumbers2GeeksforGeeks-4.java
3,0,0,0,0,0,0,1,0,0,0,3,0,2,3,11,quadratic,inefficient,LongestPalindromicSubsequenceDP12GeeksforGeeks-1.java
2,0,0,4,0,0,0,0,0,0,0,0,2,3,2,7,quadratic,inefficient,MaximumLengthChainofPairsDP20GeeksforGeeks-1.java
1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,4,linear,efficient,SpaceandtimeefficientBinomialCoefficientGeeksforGeeks-1.java
1,0,0,2,0,0,0,0,0,0,0,0,2,3,2,7,quadratic,inefficient,WriteyouownPowerwithoutusingmultiplicationanddivisionoperatorsGeeksforGeeks-1.java
5,0,0,5,1,0,0,0,0,0,0,0,2,8,4,17,quadratic,inefficient,FiniteAutomataalgorithmforPatternSearchingGeeksforGeeks-1.java
2,0,0,2,0,0,0,1,0,0,0,0,0,6,2,8,linear,efficient,MinimumnumberofsquareswhosesumequalstogivennumbernGeeksforGeeks-4.java
2,0,0,2,0,0,0,1,1,0,0,0,0,9,5,11,exponential,inefficient,WeightedJobSchedulingGeeksforGeeks-2.java
2,0,0,2,0,0,0,0,0,0,0,0,2,6,2,7,constant,efficient,FindtheelementthatappearsonceGeeksforGeeks-2.java
